"","V1","V2"
"1",0.269362,NA
"2",0.256288,NA
"3",0.264024,NA
"4",0.252293,NA
"5",0.2503,NA
"6",0.234445,NA
"7",0.278966,NA
"8",0.260441,NA
"9",0.275162,NA
"10",0.232324,NA
"11",0.28908,NA
"12",0.271628,NA
"13",0.274085,NA
"14",0.28099,NA
"15",0.266296,NA
"16",0.299332,NA
"17",0.251361,NA
"18",0.270216,NA
"19",0.251473,NA
"20",0.251539,NA
"21",0.232854,NA
"22",0.286674,NA
"23",0.266233,NA
"24",0.282991,NA
"25",0.276257,NA
"26",0.26025,NA
"27",0.256486,NA
"28",0.288747,NA
"29",0.242846,NA
"30",0.250179,NA
"31",0.258404,NA
"32",0.254316,NA
"33",0.259465,NA
"34",0.327131,NA
"35",0.233957,NA
"36",0.237363,NA
"37",0.279101,NA
"38",0.257081,NA
"39",0.238999,NA
"40",0.290409,NA
"41",0.255508,NA
"42",0.288115,NA
"43",0.230325,NA
"44",0.288699,NA
"45",0.248569,NA
"46",0.247045,NA
"47",0.240154,NA
"48",0.276065,NA
"49",0.259958,NA
"50",0.298825,NA
"51",0.257419,NA
"52",0.255737,NA
"53",0.278361,NA
"54",0.275689,NA
"55",0.247154,NA
"56",0.219883,NA
"57",0.22469,NA
"58",0.25598,NA
"59",0.267846,NA
"60",0.263082,NA
"61",0.270098,NA
"62",0.220117,NA
"63",0.257025,NA
"64",0.251216,NA
"65",0.253208,NA
"66",0.321918,NA
"67",0.264961,NA
"68",0.231908,NA
"69",0.251869,NA
"70",0.266525,NA
"71",0.295149,NA
"72",0.276526,NA
"73",0.272451,NA
"74",0.294436,NA
"75",0.270948,NA
"76",0.262172,NA
"77",0.264028,NA
"78",0.31637,NA
"79",0.26352,NA
"80",0.274418,NA
"81",0.261501,NA
"82",0.226626,NA
"83",0.261335,NA
"84",0.275726,NA
"85",0.281633,NA
"86",0.220296,NA
"87",0.270008,NA
"88",0.274856,NA
"89",0.293986,NA
"90",0.281759,NA
"91",0.282848,NA
"92",0.249585,NA
"93",0.26587,NA
"94",0.238531,NA
"95",0.288478,NA
"96",0.274638,NA
"97",0.273764,NA
"98",0.253163,NA
"99",0.275962,NA
"100",0.258333,NA
